Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
861,0.0155621,,,861,0.213889,
862,0.0120712,,,862,0.205282,
863,0.0126734,,,863,0.204734,
864,0.0122078,,,864,0.199712,
865,0.0122663,,,865,0.190874,
866,0.012903,,,866,0.189421,
867,0.0120195,,,867,0.196873,
868,0.0133523,,,868,0.180176,
869,0.0121432,,,869,0.181488,
870,0.0131358,,,870,0.184407,
871,0.014916,,,871,0.170008,
872,0.0130921,,,872,0.169954,
873,0.0113197,,,873,0.174563,
874,0.0127802,,,874,0.167896,
875,0.0126667,,,875,0.169287,
876,0.0114487,,,876,0.160923,
877,0.0115647,,,877,0.162966,
878,0.0116837,,,878,0.154633,
879,0.0118992,,,879,0.16252,
880,0.0110671,,,880,0.163449,
881,0.0109517,,,881,0.153616,
882,0.0123541,,,882,0.147892,
883,0.0121572,,,883,0.150631,
884,0.0109587,,,884,0.152566,
885,0.0126182,,,885,0.155321,
886,0.0130394,,,886,0.147646,
887,0.0121099,,,887,0.138503,
888,0.0105592,,,888,0.137153,
889,0.0109785,,,889,0.140563,
890,0.0117231,,,890,0.144088,
891,0.0105278,,,891,0.143328,
892,0.0108319,,,892,0.134496,
893,0.0109472,,,893,0.13677,
894,0.0110398,,,894,0.138449,
895,0.0109856,,,895,0.126653,
896,0.0125616,,,896,0.124759,
897,0.013214,,,897,0.125283,
898,0.012109,,,898,0.125474,
899,0.0100417,,,899,0.125086,
900,0.0104738,,,900,0.131026,
901,0.012838,,,901,0.140031,
902,0.00942414,,,902,0.126254,
903,0.011423,,,903,0.11417,
904,0.0116012,,,904,0.11455,
905,0.00994595,,,905,0.129662,
906,0.00972385,,,906,0.119881,
907,0.0100198,,,907,0.128809,
908,0.00870861,,,908,0.127049,
909,0.00908003,,,909,0.120052,
910,0.00919308,,,910,0.123024,
911,0.00954544,,,911,0.117588,
912,0.0123036,,,912,0.11209,
913,0.0104036,,,913,0.124872,
914,0.0106728,,,914,0.112221,
915,0.0107785,,,915,0.129269,
916,0.00670018,,,916,0.116148,
917,0.0086109,,,917,0.0998835,
918,0.0110818,,,918,0.115147,
919,0.00948533,,,919,0.120805,
920,0.0106538,,,920,0.109181,
